,0
10,"그냥 수능 성적 맞춰서 왔습니다. 1. 분위기 1학기에 공부 별로 안했는데 성적장학금 줘요. 성적장학금 날먹하기 좋아요. 학생들이 공부를 잘 안해요. 수업 중에 수업 잘 안듣고... 일단 대부분 놀자판이고 고등학교의 연장선 정도 수준인 거 같아요. 1학년이라 그런거 같기도 하고? 그냥 공부하기엔 분위기 별로에요. 학년 올라가보면 또 다르지 싶긴 한데... 글쎄요? 반면에 정말 열심히 하고 잘 하는 분들도 많이...는 아니고 조금! 계셔요. 사회적으로 미성숙한? 여물지 못한? 뭐랄까 말 그대로 고등학생도 아니고 중학생들처럼 행동하는 사람'들'이 있어요. 좋게 말하면 순수하고 나쁘게 말하면... 네~ 재수/반수 하는 사람 꽤 있어요. 1학기 초에 무슨 학과 규칙? 이랍시고 수업에 반바지 슬리퍼 모자 착용금지 뭐 이런ㅋㅋㅋ거 얘기하는데 학과에 유명한 교수님 한 분 빼고는 신경 안쓰세요. 물론 너무 편한 복장이면 곤란하겠지만, 이런 규칙?이랍시고 어이없는 얘기를 2022년에 너무 대놓고 하길래 깜짝 놀랐어요. 2. 수업 후기 대형과라 1학년만 학부생이 300명 정도 되고, 그냥 조용히 다니기는 좋아요. 교수님들은 젊은 교수님들이 많이 계시고 친절하시고 강의력도 좋으시고 다 좋았으나... 수업 내용이 별로였어요. 일류대학들 아닌 이상 다 비슷비슷하지 싶긴한데... 부익부 빈익빈이 너무 심해요. 아는 학생은 수업 다 제껴도 문제 없고, 모르는 학생은 종강할 때까지 못 쫓아와요. 상황이 이런데 아예 모르는 학생들 챙기다보니 수업 수준이 처참해졌어요. 취미로 배우는 100% 국비지원 코딩 학원인줄? 이렇다보니까 수업 중에 조용히 개인 공부하는게 더 나을때가 있어요. 학년 올라가면 좀 다르겠지... 하고 기도하고 있어요. 2학년부터는 본격적으로 이론 배우지 않을까?하는 막연한 기대감만 있어요. 1학년때 이론을 많이 할 줄 알았는데 수학을 좁고 얕게 배워요. 넓고 얕게도 아니고... 3. 건물 신축 건물인데 위치도 꽝. 시설도 꽝. 밥 먹을 곳이 일단 없고 여름에 너무 힘들어요. 4. 총평 인식이 별로인 대학 맞습니다. 그리고 수준은 인식에 비례합니다. 캠퍼스 깔끔하고 장학금도 많이 줘요. 그래도 등록금이 비싸긴해요. 성남이긴한데 주변에는 별거 없어요. 입결(정시)은 현상유지하거나 떨어지거나 둘 중 하나 같아요. 냉정하게 발전의 여지는 딱히 없어요. 현상유지하는 것 자체가 다행이지 싶어요. 수험생들 사이에서 인식도 별로고, 3~4등급대 대학이라는 인식이 워낙 강해서... 아무튼 수험생 여러분 더더 좋은 대학 가시길 바랍니다! 가천대도 막상 와보면 막 못다니겠다 그런 대학은 아니에요 ㅎㅎ;"
11,AI/SW 나눠놨는데 별로 의미 없음. 커리큘럼 대부분을 공유해서... 개인 공부 열심히 하고 하면 취업하는데 문제는 전혀 없을듯?
12,
13,
14,메디컬캠퍼스는 사실 매우 작아요... 하지만 5분전에 나와도 지각하지 않고 연강을 들어도 이동시간이 짧아서 지각할 일이 없어요! 그리고 장학금 제도도 다양하고 좋아서 많은 참여로 소소하게 장학금을 받아갈 수 있어요
15,커리큘럼이 매우 체계적이에요 그리고 교수님들도 다 강의력이 좋으세요 인원이 많아서 군기같은 것도 전혀없고 선후배 사이에 여러 프로그램이 있어서 분위기도 좋아요
16,학교 자체가 돈이 많고 성장 중이기에 미래 관점으로 봤을 때 좋습니다.
17,내년부터 학부로 변경되는 만큼 과 파워도 세고 돈도 많습니다. 부총장님께서 저희 과 교수님이세요.
18,"다녀봤지만 무엇보다 학생들 수준이 너무 낮다.. 입만 열면 욕설을 남발하는 학생들, 다른 강의실 수업중인데 복도에서 쩌렁쩌렁 소리지르며 장난치는학생들까지.. 정말 평범한 x반고를 나왔지만 분위기가 고등학교랑 다를게 없다. 그냥 공부 열심히 하는 학생들, 노는 학생들 명확히 구분되어있는 분위기이다. 그리고 수험생들 사이 인식도 최하위권이고 무엇보다 사회에서 말하면 항상 과천대?라는 소리를 듣는다. 또한 에브리타임에서 별것도 아닌걸로 시비걸고 분탕치는 유저들이 분위기를 더 흐리는것같다. 이런걸 보면 정말 여기가 대학인가? 실업계고등학굔가? 라는 의구심이 든다. 정말 스트레스받는다. 학벌 말고 다른길 찾고자 자퇴하고자 한다. 학벌이 인생의 전부가 아니기를.."
19,그렇다. 에타에서 일어나는 현상이 현실에서 일어나는 기이한 곳이다.
20,요즘 들어 입결도 상승하고 학교 시설도 새로 지은 건물도 많아서 쾌적한 공간에서 공부할 수 있어요 도서관도 전자 정보 도서관과 중앙 도서관이 있고 단과대 별로 학습 라운지가 있어서 공부하는데 지장이 없습니다
21,컴퓨터공학과 특성 상 독학해야 하는 분야이고 어려운 분야이지만 최근 들어 좋은 교수님들도 많아졌고 지원도 많아서 컴퓨터에 관심 있는 학생이라면 오는 걸 추천합니다. 하지만 전공 수업을 듣는 건물이 지하철역과 멀기도 하고 복부전생들이 많아서 수강신청 할 때 힘들 수 있습니다.
22,
23,
24,전반적으로 무난해요... 캠퍼스 시설은 좋아요. 비전타워랑 가천관 굿. 공부 좀만 더 해서 더 좋은 학교 갈걸 하는 마음이 가끔 들었는데... 다니다보면 오길 잘했다는 생각이 들어요.
25,초대형과예요. 사람이 엄청 많아서 소속감을 느끼기가 어렵고 적극적으로 사람을 만나려고 노력하지 않는 이상 굉장히 외로운 학과입니다. 교수님들은 정말 좋으십니다.
26,"그냥 수능 성적 맞춰서 왔습니다. 1. 분위기 1학기에 공부 별로 안했는데 성적장학금 줘요. 성적장학금 날먹하기 좋아요. 학생들이 공부를 잘 안해요. 수업 중에 수업 잘 안듣고... 일단 대부분 놀자판이고 고등학교의 연장선 정도 수준인 거 같아요. 1학년이라 그런거 같기도 하고? 그냥 공부하기엔 분위기 별로에요. 학년 올라가보면 또 다르지 싶긴 한데... 글쎄요? 반면에 정말 열심히 하고 잘 하는 분들도 많이...는 아니고 조금! 계셔요. 사회적으로 미성숙한? 여물지 못한? 뭐랄까 말 그대로 고등학생도 아니고 중학생들처럼 행동하는 사람'들'이 있어요. 좋게 말하면 순수하고 나쁘게 말하면... 네~ 재수/반수 하는 사람 꽤 있어요. 1학기 초에 무슨 학과 규칙? 이랍시고 수업에 반바지 슬리퍼 모자 착용금지 뭐 이런ㅋㅋㅋ거 얘기하는데 학과에 유명한 교수님 한 분 빼고는 신경 안쓰세요. 물론 너무 편한 복장이면 곤란하겠지만, 이런 규칙?이랍시고 어이없는 얘기를 2022년에 너무 대놓고 하길래 깜짝 놀랐어요. 2. 수업 후기 대형과라 1학년만 학부생이 300명 정도 되고, 그냥 조용히 다니기는 좋아요. 교수님들은 젊은 교수님들이 많이 계시고 친절하시고 강의력도 좋으시고 다 좋았으나... 수업 내용이 별로였어요. 일류대학들 아닌 이상 다 비슷비슷하지 싶긴한데... 부익부 빈익빈이 너무 심해요. 아는 학생은 수업 다 제껴도 문제 없고, 모르는 학생은 종강할 때까지 못 쫓아와요. 상황이 이런데 아예 모르는 학생들 챙기다보니 수업 수준이 처참해졌어요. 취미로 배우는 100% 국비지원 코딩 학원인줄? 이렇다보니까 수업 중에 조용히 개인 공부하는게 더 나을때가 있어요. 학년 올라가면 좀 다르겠지... 하고 기도하고 있어요. 2학년부터는 본격적으로 이론 배우지 않을까?하는 막연한 기대감만 있어요. 1학년때 이론을 많이 할 줄 알았는데 수학을 좁고 얕게 배워요. 넓고 얕게도 아니고... 3. 건물 신축 건물인데 위치도 꽝. 시설도 꽝. 밥 먹을 곳이 일단 없고 여름에 너무 힘들어요. 4. 총평 인식이 별로인 대학 맞습니다. 그리고 수준은 인식에 비례합니다. 캠퍼스 깔끔하고 장학금도 많이 줘요. 그래도 등록금이 비싸긴해요. 성남이긴한데 주변에는 별거 없어요. 입결(정시)은 현상유지하거나 떨어지거나 둘 중 하나 같아요. 냉정하게 발전의 여지는 딱히 없어요. 현상유지하는 것 자체가 다행이지 싶어요. 수험생들 사이에서 인식도 별로고, 3~4등급대 대학이라는 인식이 워낙 강해서... 아무튼 수험생 여러분 더더 좋은 대학 가시길 바랍니다! 가천대도 막상 와보면 막 못다니겠다 그런 대학은 아니에요 ㅎㅎ;"
27,AI/SW 나눠놨는데 별로 의미 없음. 커리큘럼 대부분을 공유해서... 개인 공부 열심히 하고 하면 취업하는데 문제는 전혀 없을듯?
28,"1년 반 정도 다녀본 결과이다. 학생들의 의욕도 별로 없는것 같고 수업 분위기도 엉망이다. 게다가 a비율이 높기 때문에 정말 좀만 공부해도 학점 A는 그냥 기본으로 나오는것 같다. 특히 수업중에 몇몇 학생들이 카톡이나 페메를 하고 학교에 빈손으로 와서 수업 중간에 화장실가는척 하고 무단조퇴를 하는 학우들을 보며 충격받았다. 이런 분위기의 학교에서 학점만 높아봤자 나중에 취업시장에 뛰어들었을때, 아님 사회에 진출해있을때 어떤 경쟁력이 있을지 의문이다. 취업시장 들면 경기대나 한성대 삼육대 명지대 상명대 인천대 삼여대와 같은 중상위권 학교와 경쟁하기보다는 서연고 서성한같이 명문대생들과 경쟁하게 될 것이다. 그러나 이런 분위기에서 서연고서성한 학생들과 함께 경쟁하게 되면 어떻게될지가 의문이었다. 고등학교때 공부 안하고 허구한날 놀러다녀서 여기에 온 것은 사실이고 후회중이지만 지금이라도 열심히 해서 최소 건동홍 이상의 학교로 편입하고자 다짐했다."
29,위와같은 태도로 항상 놀기만하고 대충 성적 맞추고 집가까운곳으로 오긴 했지만 최상위 의한약 간호 제외하고는 거의 비슷하지 않을까 싶다.
30,메디컬캠퍼스는 사실 매우 작아요... 하지만 5분전에 나와도 지각하지 않고 연강을 들어도 이동시간이 짧아서 지각할 일이 없어요! 그리고 장학금 제도도 다양하고 좋아서 많은 참여로 소소하게 장학금을 받아갈 수 있어요
31,커리큘럼이 매우 체계적이에요 그리고 교수님들도 다 강의력이 좋으세요 인원이 많아서 군기같은 것도 전혀없고 선후배 사이에 여러 프로그램이 있어서 분위기도 좋아요
32,사실 처음에는 많이 만족을 하지는 못한 게 사실이다. 그런데 학교생활을 해보고 느낀 게 선배들을 보면 학벌로 취업에서 마이너스가 되지도 플러스가 되지도 않는듯한 느낌이다. 그래서 그때부터 그냥 열심히 하면 충분히 성공할 수 있다고 생각하고 열심히 학교생활중이다!
33,기본적으로 공대에 많이 투자하고 밀어준다. 점점 교수님도 젊으신 분으로 바뀌면서 점점 발전하는 느낌이다
34,"다녀봤지만 무엇보다 학생들 수준이 너무 낮다.. 입만 열면 욕설을 남발하는 학생들, 다른 강의실 수업중인데 복도에서 쩌렁쩌렁 소리지르며 장난치는학생들까지.. 정말 평범한 x반고를 나왔지만 분위기가 고등학교랑 다를게 없다. 그냥 공부 열심히 하는 학생들, 노는 학생들 명확히 구분되어있는 분위기이다. 그리고 수험생들 사이 인식도 최하위권이고 무엇보다 사회에서 말하면 항상 과천대?라는 소리를 듣는다. 또한 에브리타임에서 별것도 아닌걸로 시비걸고 분탕치는 유저들이 분위기를 더 흐리는것같다. 이런걸 보면 정말 여기가 대학인가? 실업계고등학굔가? 라는 의구심이 든다. 정말 스트레스받는다. 학벌 말고 다른길 찾고자 자퇴하고자 한다. 학벌이 인생의 전부가 아니기를.."
35,그렇다. 에타에서 일어나는 현상이 현실에서 일어나는 기이한 곳이다.
36,ai관이 깨끗은 한데 편의시설이 없다 앞으로 만든다고 한다 등산을 해야한다 앞으로 등산 코스는 늘어날 것이다 의외로 똑똑한애들이 몇 있다
37,나름 취업 잘된다고 한다(소웨기준) 장학금 잘 나온다 솔직히 날먹이다
38,
39,
40,전반적으로 무난해요... 캠퍼스 시설은 좋아요. 비전타워랑 가천관 굿. 공부 좀만 더 해서 더 좋은 학교 갈걸 하는 마음이 가끔 들었는데... 다니다보면 오길 잘했다는 생각이 들어요.
41,초대형과예요. 사람이 엄청 많아서 소속감을 느끼기가 어렵고 적극적으로 사람을 만나려고 노력하지 않는 이상 굉장히 외로운 학과입니다. 교수님들은 정말 좋으십니다.
42,솔직히 비추천함... 수시 정시 입결 5~6등급대
43,"학과분위기는 좋으며, 학교에서 여러 활동을 많이 해줌"
44,"1년 반 정도 다녀본 결과이다. 학생들의 의욕도 별로 없는것 같고 수업 분위기도 엉망이다. 게다가 a비율이 높기 때문에 정말 좀만 공부해도 학점 A는 그냥 기본으로 나오는것 같다. 특히 수업중에 몇몇 학생들이 카톡이나 페메를 하고 학교에 빈손으로 와서 수업 중간에 화장실가는척 하고 무단조퇴를 하는 학우들을 보며 충격받았다. 이런 분위기의 학교에서 학점만 높아봤자 나중에 취업시장에 뛰어들었을때, 아님 사회에 진출해있을때 어떤 경쟁력이 있을지 의문이다. 취업시장 들면 경기대나 한성대 삼육대 명지대 상명대 인천대 삼여대와 같은 중상위권 학교와 경쟁하기보다는 서연고 서성한같이 명문대생들과 경쟁하게 될 것이다. 그러나 이런 분위기에서 서연고서성한 학생들과 함께 경쟁하게 되면 어떻게될지가 의문이었다. 고등학교때 공부 안하고 허구한날 놀러다녀서 여기에 온 것은 사실이고 후회중이지만 지금이라도 열심히 해서 최소 건동홍 이상의 학교로 편입하고자 다짐했다."
45,위와같은 태도로 항상 놀기만하고 대충 성적 맞추고 집가까운곳으로 오긴 했지만 최상위 의한약 간호 제외하고는 거의 비슷하지 않을까 싶다.
46,
47,
48,사실 처음에는 많이 만족을 하지는 못한 게 사실이다. 그런데 학교생활을 해보고 느낀 게 선배들을 보면 학벌로 취업에서 마이너스가 되지도 플러스가 되지도 않는듯한 느낌이다. 그래서 그때부터 그냥 열심히 하면 충분히 성공할 수 있다고 생각하고 열심히 학교생활중이다!
49,기본적으로 공대에 많이 투자하고 밀어준다. 점점 교수님도 젊으신 분으로 바뀌면서 점점 발전하는 느낌이다
50,"다녀봤지만 무엇보다 학생들 수준이 너무 낮다.. 입만 열면 욕설을 남발하는 학생들, 다른 강의실 수업중인데 복도에서 쩌렁쩌렁 소리지르며 장난치는학생들까지.. 정말 평범한 x반고를 나왔지만 분위기가 고등학교랑 다를게 없다. 그냥 공부 열심히 하는 학생들, 노는 학생들 명확히 구분되어있는 분위기이다. 그리고 수험생들 사이 인식도 최하위권이고 무엇보다 사회에서 말하면 항상 과천대?라는 소리를 듣는다. 또한 에브리타임에서 별것도 아닌걸로 시비걸고 분탕치는 유저들이 분위기를 더 흐리는것같다. 이런걸 보면 정말 여기가 대학인가? 실업계고등학굔가? 라는 의구심이 든다. 정말 스트레스받는다. 학벌 말고 다른길 찾고자 자퇴하고자 한다. 학벌이 인생의 전부가 아니기를.."
51,그렇다. 에타에서 일어나는 현상이 현실에서 일어나는 기이한 곳이다.
52,ai관이 깨끗은 한데 편의시설이 없다 앞으로 만든다고 한다 등산을 해야한다 앞으로 등산 코스는 늘어날 것이다 의외로 똑똑한애들이 몇 있다
53,나름 취업 잘된다고 한다(소웨기준) 장학금 잘 나온다 솔직히 날먹이다
54,
55,
56,학교 이쁘고 장학금도 잘 주고 다 좋아요 애매한 인서울 4년제 대학이긴 하지만 아무튼 중요한건 이게 아닙니다. ..
57,건축학부 오고 싶은 여러분 잘 생각해보세요. 정말 오고싶으신가요? 건축은 공대가 아니에요 미대에 가깝습니다. 물론 물리를 배우긴 하지만 이는 학교생활의 1/10 밖에 차지하지 않아요 나머지 9는 실습입니다.. 실습이 정말 많아요. 밤샘야작은 기본이고 공강 주말할것 없이 학교 와서 설계하고 모형 만들고 ..ㅋㅋㅋ 정말 힘들어요. 시험기간 때는 다른 수업도 챙기면서 설계해야하기 때문에 진짜 잠을 못자요. 저 오늘도 아침 6시까지 학교에서 야작하다가 집에서 몇시간 자고 다시 학교가는 중입니다.. 그럼에도 난 건축이 하고싶다. 하신다면 오세요. 사실 저도 매일 입으로는 탈건축 탈건축 하지만 후회하지 않습니다. 전 고등학교 3년 내내 이곳에 오고싶었으니까요. 하지만 전공 교수님도 저한테 매일 말씀하십니다. 탈건축은 지능순이라고 ... 되도록 빨리 전과하라고.. 그저 성적 맞춰서 오는것이라면 절대 무조건 무슨 일이 있어도 추천하지 않습니다. 겨우 그정도의 바램으로 온다고 견딜 수 있는 학과가 아니에요. 부디 잘 생각해주세요. 3년 내내 오고싶어서 왔는데도 전과 고민하는 친구가 정말 많습니다.
58,솔직히 비추천함... 수시 정시 입결 5~6등급대
59,"학과분위기는 좋으며, 학교에서 여러 활동을 많이 해줌"
60,"1년 반 정도 다녀본 결과이다. 학생들의 의욕도 별로 없는것 같고 수업 분위기도 엉망이다. 게다가 a비율이 높기 때문에 정말 좀만 공부해도 학점 A는 그냥 기본으로 나오는것 같다. 특히 수업중에 몇몇 학생들이 카톡이나 페메를 하고 학교에 빈손으로 와서 수업 중간에 화장실가는척 하고 무단조퇴를 하는 학우들을 보며 충격받았다. 이런 분위기의 학교에서 학점만 높아봤자 나중에 취업시장에 뛰어들었을때, 아님 사회에 진출해있을때 어떤 경쟁력이 있을지 의문이다. 취업시장 들면 경기대나 한성대 삼육대 명지대 상명대 인천대 삼여대와 같은 중상위권 학교와 경쟁하기보다는 서연고 서성한같이 명문대생들과 경쟁하게 될 것이다. 그러나 이런 분위기에서 서연고서성한 학생들과 함께 경쟁하게 되면 어떻게될지가 의문이었다. 고등학교때 공부 안하고 허구한날 놀러다녀서 여기에 온 것은 사실이고 후회중이지만 지금이라도 열심히 해서 최소 건동홍 이상의 학교로 편입하고자 다짐했다."
61,위와같은 태도로 항상 놀기만하고 대충 성적 맞추고 집가까운곳으로 오긴 했지만 최상위 의한약 간호 제외하고는 거의 비슷하지 않을까 싶다.
62,"가천대를 목표로 공부했지만 막상 와보니 실망했다.., 솔직히 미적분학 배우는데 노베들 너무 많고 교수님이 질문해도 생각도 안 해보고 모른다는 애들... 본인의 경우 공부도 열심히 했고 일단 중간고사는 잘본편 근데 의문이 들었다... 여기 친구들너무 취업에만 목메고 대충 대학이라고 불릴만한 대학 나와서 취업만 하려는 애들... 레포트 쓸 때 블로그 베끼는걸 당연하게 여기는 애들... 좀 현타가 왔다... 앞으로 사회에 나가서 나의 경쟁상대는 가천대를 졸업할 친구 뿐만 아니라 다른 대학졸업자들도 있을 것이다. 그런데 이런 분위기의 학교에서 학점 높아봤자 도대체 점수 라는 그 숫자말고 남는게 없을 것이라는 생각이 들었다. 나는 연구쪽에 꿈이 있었고 대학에 와서 전문적인 지식을 연마하고 싶었는데 이렇게 취업에만 목메는 애들이 우리학교에 있다는 현실이 안타까웠다 한 때 이 대학을 목표로 공부했고 결국 이 대학에 왔다. 하지만 수업을 해보고 친구들과 만나본 결과 가천대의 방향성은 연구쪽에 꿈이 있는 나와는 맞지 않는것 같다는 생각이 들었다... 그래서 일단 학점을 유지하는데 주력하고 군대를 갖다와서 중대 이상의 대학으로 편입을 준비할 예정이다. 만약 23학번 24학번이 내 글을 보게 된다면 자신의 진로에 대해 잘 생각해보고 액션을 취하길 바란다..."
63,"취업률은 공대다 보니 좋을 수 밖에 없다... 취업이 인생의 목표라면 나쁘지 않은 선택지, .."
64,
65,
66,"지방출신이라 수도권대학 가는거 기대했는데 건물 조그만거 3개짜리 캠퍼스가 끝.. 대학가X, 학교 앞에 외국인들 많아서 밤에는 나가기에 무서울 수 있음.. 취업지원은 딱히 없고 가끔 여러분야에서 재직 중인 학교선배들과 온라인으로 만나는 시간을 가질 수 있다. 그런걸 바탕으로 취업은 알아서 준비하는듯 아웃풋은 빅5로 50프로 정도 취직한다. 2-30프로는 길 성적장학금상위 15프로 줌"
67,"취업만 보고 오면 X. 타간호도 마찬가지로 요즘같은 취업난에 취업률 90프로 이상이라 현혹해서 오게하는건... 기만인듯. 하지만~~ 간호사의 현실을 받아들이고 아픈사람에 둘러싸여도 나는 멘탈을 잡고 있을 수 있고, 이 직업 아니면 안된다!! 하면 추천한다. 커리큘럼, 교수진, 취업률(왜 높은지 다시 한번생각)은 상위클래스이다. 학과 분위기는 대부분 갠플. 선후배관계는 코시국 이후라 아예 없어진듯 학점은 본인의 노력에 달림. 쉽지도 어렵지도않다."
68,ai관이 깨끗은 한데 편의시설이 없다 앞으로 만든다고 한다 등산을 해야한다 앞으로 등산 코스는 늘어날 것이다 의외로 똑똑한애들이 몇 있다
69,나름 취업 잘된다고 한다(소웨기준) 장학금 잘 나온다 솔직히 날먹이다
70,
71,
72,학교 이쁘고 장학금도 잘 주고 다 좋아요 애매한 인서울 4년제 대학이긴 하지만 아무튼 중요한건 이게 아닙니다. ..
73,건축학부 오고 싶은 여러분 잘 생각해보세요. 정말 오고싶으신가요? 건축은 공대가 아니에요 미대에 가깝습니다. 물론 물리를 배우긴 하지만 이는 학교생활의 1/10 밖에 차지하지 않아요 나머지 9는 실습입니다.. 실습이 정말 많아요. 밤샘야작은 기본이고 공강 주말할것 없이 학교 와서 설계하고 모형 만들고 ..ㅋㅋㅋ 정말 힘들어요. 시험기간 때는 다른 수업도 챙기면서 설계해야하기 때문에 진짜 잠을 못자요. 저 오늘도 아침 6시까지 학교에서 야작하다가 집에서 몇시간 자고 다시 학교가는 중입니다.. 그럼에도 난 건축이 하고싶다. 하신다면 오세요. 사실 저도 매일 입으로는 탈건축 탈건축 하지만 후회하지 않습니다. 전 고등학교 3년 내내 이곳에 오고싶었으니까요. 하지만 전공 교수님도 저한테 매일 말씀하십니다. 탈건축은 지능순이라고 ... 되도록 빨리 전과하라고.. 그저 성적 맞춰서 오는것이라면 절대 무조건 무슨 일이 있어도 추천하지 않습니다. 겨우 그정도의 바램으로 온다고 견딜 수 있는 학과가 아니에요. 부디 잘 생각해주세요. 3년 내내 오고싶어서 왔는데도 전과 고민하는 친구가 정말 많습니다.
74,솔직히 비추천함... 수시 정시 입결 5~6등급대
75,"학과분위기는 좋으며, 학교에서 여러 활동을 많이 해줌"
76,
77,
78,"가천대를 목표로 공부했지만 막상 와보니 실망했다.., 솔직히 미적분학 배우는데 노베들 너무 많고 교수님이 질문해도 생각도 안 해보고 모른다는 애들... 본인의 경우 공부도 열심히 했고 일단 중간고사는 잘본편 근데 의문이 들었다... 여기 친구들너무 취업에만 목메고 대충 대학이라고 불릴만한 대학 나와서 취업만 하려는 애들... 레포트 쓸 때 블로그 베끼는걸 당연하게 여기는 애들... 좀 현타가 왔다... 앞으로 사회에 나가서 나의 경쟁상대는 가천대를 졸업할 친구 뿐만 아니라 다른 대학졸업자들도 있을 것이다. 그런데 이런 분위기의 학교에서 학점 높아봤자 도대체 점수 라는 그 숫자말고 남는게 없을 것이라는 생각이 들었다. 나는 연구쪽에 꿈이 있었고 대학에 와서 전문적인 지식을 연마하고 싶었는데 이렇게 취업에만 목메는 애들이 우리학교에 있다는 현실이 안타까웠다 한 때 이 대학을 목표로 공부했고 결국 이 대학에 왔다. 하지만 수업을 해보고 친구들과 만나본 결과 가천대의 방향성은 연구쪽에 꿈이 있는 나와는 맞지 않는것 같다는 생각이 들었다... 그래서 일단 학점을 유지하는데 주력하고 군대를 갖다와서 중대 이상의 대학으로 편입을 준비할 예정이다. 만약 23학번 24학번이 내 글을 보게 된다면 자신의 진로에 대해 잘 생각해보고 액션을 취하길 바란다..."
79,"취업률은 공대다 보니 좋을 수 밖에 없다... 취업이 인생의 목표라면 나쁘지 않은 선택지, .."
80,이번에 다른학교로 편입하는 입장에서 가천대를 논해보자면. 솔직하게 광명상가 그이하 급에서 공대한정 괜찮은 학교는 광운대 가천대 인천대 정도라고 생각하고. 요즘 이슈가 항상되는게 가천대기 때문에 광명상가 이하에서 결정한다면 나쁘지않은 선택. 하지만 라인자체로보면 절대 좋은 학교는 아니고 이 라인 치고는 굉장히 봐줄만한 학교. 솔직히 대기업가는 기준은 학과내에서 정말 열심히한 소수인원만 가는듯. 대부분 그리고 학벌열등감 심해서 학벌얘기는 안하는게 장땡
81,아아아아아아아ㅏ아아아아아아ㅏ아아아아아앙아ㅏㅇ아아ㅏ앙
