,0
10,"네 우선 서울 한 가운데 있어서 서울을 씹고 뜯고 맛보고 싶은 지방러들에겐 아주 좋은 대학교가 될 수 있습니다 그리고 시설도 아주 좋습니다(신축 기숙사<2인1실>,신축 건물 등) 트랙제라서 복잡하게 복수전공같은 거 신청 안 해도 그냥 학부(공대 ,인문대 등)수업 듣는 게 가능합니다 인서울 열풍으로 학교의 이름이 점점 더 알려지고 있는 추세다"
11,이 학부가 상경계라서 문과 쪽에선 그래도 전망이 좋은 편이다 학창 시절 때 정치와 법 좋아하거나 경제같은 거에 관심 많았으면 꼭 이 학부로 오세요
12,
13,
14,서울에 있어서 편리한 인프라와 대외활동을 누릴 수 있다 지방 살다 왔는데 진짜 서울은 다르긴 다르더라
15,"문과에서 그래도 제일 취업 잘 되는 학과(무역, 경영,경제)들 모아둔 학부라 나쁘지 않다."
16,트랙제 는 다양한 사람들과 만날 기회가 생김 맘먹고 친구 사귈려하면 충분히 많이 사귐 동아리 활동 이나 교내 학교 행사 참여하면 더 쉽게 사귐 대신 선후배의 끈끈함은 없음 친구 사귀고 싶으면 먼저다가가야함 애초에 학교에서 뭘 해 줄 이유가 없음 등록금이랑 4년제 학위랑 바꾸는 거지
17,공부가 재밌나 고른 학과로 인생사나 그냥 그럼
18,학교자체는 괜찮습니다 학교가는길이 오르막길이고 계단 탈일이 좀 있긴하지만 시설 좋고요 뭐 교직원들이 불친절하다니 하는데 저는 딱히 불편한거 못느꼈습니다. 학교가 좀 많이 작습니다만 전 오히려 학교수업 들을때 편했어요 이동시간이 작아서 ㅋㅋ 학식은 정말 맛있습니다 세종대학식이랑 같은업체라서 똑같은 음식임. 근데 ㄹㅇ 소속감 1도 못느낍니다. 우리학교 트렉제도 특징상 지 원하는대로 다들 수업정해서 듣다보니 친구만들기도 어렵고 선배님들과의 술자리 이런거 하나도 없어요(이건 장점일수도 있습니다) ㄹㅇ 원래 친구랑 같이 대학온거아니면 낯선 곳에 혼자떨어진 느낌.. 다른애들이랑도 수업겹쳐봤자 한두개? 서로서로 다 낯선..
19,"트렉제도도 아직 보완점이 있지만 전 좋게 생각합니다.학종으로 올경우엔 학부로 오다보니 생기부와 다르게 기계생기부로 들어와서 컴공할수도있고 그냥 자율전공이라고 생각하면 편해요. 근데 문제점이 공대는(문과는 제가 몰라서 뭐라 말 못합니다) 사실상 비슷한 트렉을 들어야한다는거에요. 1트렉을 기계자동화트렉 하고 2트렉을 컴공꺼 들어야지! 이런거 하면 RPG 잡캐릭터 키우는거임. 물론 컴공쪽으로는 트렉 좀 다양한걸로 알고있고 컴공들을꺼면 트렉제도 유의미하게 도움이 될꺼같은데 기계, 전자쪽은 관련 트랙 수 자체가 별로없습니다 기계관련 트렉2개, 전자트랙 3개(올해 하나 추가됨) 밖에없어요. 거기다가 기계쪽은 들어보니까 그냥 기계공학과 교육과정 반으로 딱나눠서 두개 트렉으로 만든거라 하나만 배우면 그냥 절반 배우는거랍니다 ㅋㅋ. 뭐 이게 별로다! 이런게아니라 그냥 트렉제도가 뭐 의미있게 돌아가는거 같지가 않단 소립니다. 차라리 과로 다시 돌아가고 자율전공으로 하는게 좋을거같은데.. 근데또 트렉제도로 이득보는사람이 있긴하더라고요. 그래서 그냥 하나의 장점으로 생각합니다. 또한 트렉을 결정할때 성적순으로 짜르고 그런거 없습니다. 그래서 공대절반이 컴공으로 몰린다고하더라고요 ㅋㅋ. 컴공으로 오실꺼면 좋은 제도고, 아니면 그냥 보통 과라고 생각하시면 편합니다."
20,음............ 캠퍼스를 기대하고 오지 않는것이 좋음. 매우 작고 아기자기함. 시설은 새로 지은 상상관이 제일 좋음. 근데 장학금 타기가 좀 빡침 4.5만점에 4.3이어도 ㅈ같은 비교과포인트 제도를 만들어놔서 그거 거의 꽉 채워야 장학금 탈 수 있음 난 4.3에 비교과 100 좀 넘게 모았더니 장학금 못 탐 하 비교과포인트 진짜ㅓㅓㅑㅗㅗㅑㅗㅘㅠㅓㅏㅐㅡㅠㅠㅡ 내가 만난 교수님들은 거의 다 열정 넘치시고 좋았음...
21,이게 학과가 아니라 학부이고 한성대가 또 트랙제가 있다보니까 뭔가 소속감이 1도 없음... 대학가면 알아서 다 친구생긴다? 적어도 한성대에서는 아님 ㅈ~ㄴ 노력해야 생김 그리고 특히 인예대 학생회는 흠... 일을 잘 안하는듯 다른 학교들 학과들처럼 소속감이나 유대감 없는게 제일 아쉬움
22,학교 시설 대부분 신식이라 깔끔하고 좋아요. 정말 좋습니다. 선후배 잘 챙겨주시고 선배님들 정말 다 착하십니다. 술 강요같은 건 없어요. 트랙제라 호불호 갈릴 수 있지만 제 특성이랑은 잘 맞아서 불만없이 재밌게 다니고 있습니다.
23,교수님들 진짜 좋아요. 억지로 하는 말이 아니라 정말 교수님은 끝내주게 잘 뽑는 학교 같습니다.
24,
25,
26,"네 우선 서울 한 가운데 있어서 서울을 씹고 뜯고 맛보고 싶은 지방러들에겐 아주 좋은 대학교가 될 수 있습니다 그리고 시설도 아주 좋습니다(신축 기숙사<2인1실>,신축 건물 등) 트랙제라서 복잡하게 복수전공같은 거 신청 안 해도 그냥 학부(공대 ,인문대 등)수업 듣는 게 가능합니다 인서울 열풍으로 학교의 이름이 점점 더 알려지고 있는 추세다"
27,이 학부가 상경계라서 문과 쪽에선 그래도 전망이 좋은 편이다 학창 시절 때 정치와 법 좋아하거나 경제같은 거에 관심 많았으면 꼭 이 학부로 오세요
28,
29,
30,서울에 있어서 편리한 인프라와 대외활동을 누릴 수 있다 지방 살다 왔는데 진짜 서울은 다르긴 다르더라
31,"문과에서 그래도 제일 취업 잘 되는 학과(무역, 경영,경제)들 모아둔 학부라 나쁘지 않다."
32,400만원이상 내고 매학기 영업사원 실습(무보수)이 되고싶다면 추천함
33,광클능력도 실력이라는 올클러들 현실은 1초도 안되어 마감되는 컴공 강의들 다음학기가 벌써 기대되고 무서워지는 학사시스템
34,학교자체는 괜찮습니다 학교가는길이 오르막길이고 계단 탈일이 좀 있긴하지만 시설 좋고요 뭐 교직원들이 불친절하다니 하는데 저는 딱히 불편한거 못느꼈습니다. 학교가 좀 많이 작습니다만 전 오히려 학교수업 들을때 편했어요 이동시간이 작아서 ㅋㅋ 학식은 정말 맛있습니다 세종대학식이랑 같은업체라서 똑같은 음식임. 근데 ㄹㅇ 소속감 1도 못느낍니다. 우리학교 트렉제도 특징상 지 원하는대로 다들 수업정해서 듣다보니 친구만들기도 어렵고 선배님들과의 술자리 이런거 하나도 없어요(이건 장점일수도 있습니다) ㄹㅇ 원래 친구랑 같이 대학온거아니면 낯선 곳에 혼자떨어진 느낌.. 다른애들이랑도 수업겹쳐봤자 한두개? 서로서로 다 낯선..
35,"트렉제도도 아직 보완점이 있지만 전 좋게 생각합니다.학종으로 올경우엔 학부로 오다보니 생기부와 다르게 기계생기부로 들어와서 컴공할수도있고 그냥 자율전공이라고 생각하면 편해요. 근데 문제점이 공대는(문과는 제가 몰라서 뭐라 말 못합니다) 사실상 비슷한 트렉을 들어야한다는거에요. 1트렉을 기계자동화트렉 하고 2트렉을 컴공꺼 들어야지! 이런거 하면 RPG 잡캐릭터 키우는거임. 물론 컴공쪽으로는 트렉 좀 다양한걸로 알고있고 컴공들을꺼면 트렉제도 유의미하게 도움이 될꺼같은데 기계, 전자쪽은 관련 트랙 수 자체가 별로없습니다 기계관련 트렉2개, 전자트랙 3개(올해 하나 추가됨) 밖에없어요. 거기다가 기계쪽은 들어보니까 그냥 기계공학과 교육과정 반으로 딱나눠서 두개 트렉으로 만든거라 하나만 배우면 그냥 절반 배우는거랍니다 ㅋㅋ. 뭐 이게 별로다! 이런게아니라 그냥 트렉제도가 뭐 의미있게 돌아가는거 같지가 않단 소립니다. 차라리 과로 다시 돌아가고 자율전공으로 하는게 좋을거같은데.. 근데또 트렉제도로 이득보는사람이 있긴하더라고요. 그래서 그냥 하나의 장점으로 생각합니다. 또한 트렉을 결정할때 성적순으로 짜르고 그런거 없습니다. 그래서 공대절반이 컴공으로 몰린다고하더라고요 ㅋㅋ. 컴공으로 오실꺼면 좋은 제도고, 아니면 그냥 보통 과라고 생각하시면 편합니다."
36,"작고 알찬 학교 커리큘럼도 좋았고 시설도 좋다 지금 공사하는 것만 끝나면 더 좋아지겠죠? 밑에 행정 불만 가지신 분들 많으신데 어느 학교를 가나 재학생이 학교 행정에 만족 못하는 정도는 비슷비슷 한거같네요 친구 얘기들 들어보고 해도,, 전 학교에서 근로장학생도 하고 여러가지 제도들 잘 이용했고 뭐 서류처리나 행정 관련해서는 불만 전혀 없었는데 사람마다 달라서 모르겠네요"
37,타 과도 그렇고 배울것만 핵심적으로 잘 가르치는 것 같습니다 만족했습니다
38,
39,
40,"계열 상관 없이 훌륭하신 교수님이 많다. 커리큘럼도 괜찮다. 다만, 트랙제에 큰 모순이 있다. 인문학+공학처럼 다른 학문과 융합해 배울 수 있다는 것이 말이 안 된다. 트렉제는 하나의 학과에서 배울 내용을 여러 개의 트랙으로 분화시킨 것이다. 전문성을 확보하려면 비슷한 트랙 2개를 선택해야 한다. 이미 얕아진 학문의 지식으로 다른 계열의 학문을 배운다는 것은 취미 수준 그 이상 이하도 아니다. 취업할 때도 별로 좋을 게 없다. 또, 자기가 선택한 트랙이 사라지는 참변을 맞을 수도 있다. 인기가 없는 트랙은 폐지될 가능성이 있으니 주의해야 한다."
41,교수님들이 친절하시다. 좋은 프로그램이 많다.
42,"위치 학교는 전반적으로 만족하면서 다녔습니다 위치는 뭐 역에서 학교가 좀 멀다 뿐이지 서울 내 어디든 무리없이 갈수있고 근처에 번화가는 대학로, 성신여대 조용히 먹고싶으면 학교 앞 성북천 좋았어요 시설 시설은 일단 캠퍼스는 작아요 근데 오히려 수업 이동할때 편하고 학교 어디든 금방 갈수 있어서 좋아요 상상관은 17년도인가에 완공되서 깔끔하고 탐구관 공학관 등은 외관은 그냥 그런데 내부는 깔끔해요 창의관이었나 패디과 학우분들 건물은 내부가 특히 엄청 좋습니다 취업지원 취업지원 부분은 솔직히 부족하다고 느껴집니다 교내에 취업지원팀이 존재하고 여러가지 제도를 시행하고 있긴 합니다 근데 학우들이 잘은 사용하지 않는 느낌? 그래도 모의면접 자소서 첨삭 등등 있을건 다 있어요 아웃풋 아웃풋은 전 공대나와서 공대 기준으로 말씀드리면 그래도 다들 취업은 무난하게 하는 편입니다 한성대 나와서 학벌로 이득은 못봐도 손해볼 정도는 아닌느낌? 기타 교환학생은 일본이랑 미국 등등 있었는데 코로나라서 흠? 장학금은 제도 좋아요 자격증 비용 장학금으로 주는거 있는데 그거 꼭 활용하세요!"
43,일단 저는 상상력(주간) -> 컴공 입니다 공대는 아무래도 컴공이 사람이 제일 많아요 수강신청때 좀 빡세고 그런건 있는데 그래도 다들 학점 잘 채워서 졸업합니다. 학교 다닐땐 뭣도 모르고 다녔었는데사회에 나와서 보니 저희학교 컴공 수준 꽤 높았습니다 커리큘럼도 필드에서 쓰는 기술 위주로 짜여져 있고 교수님들도 강의력 대부분 좋았습니다 후배님들 다들 화이팅입니다!!
44,
45,
46,
47,
48,400만원이상 내고 매학기 영업사원 실습(무보수)이 되고싶다면 추천함
49,광클능력도 실력이라는 올클러들 현실은 1초도 안되어 마감되는 컴공 강의들 다음학기가 벌써 기대되고 무서워지는 학사시스템
50,학교자체는 괜찮습니다 학교가는길이 오르막길이고 계단 탈일이 좀 있긴하지만 시설 좋고요 뭐 교직원들이 불친절하다니 하는데 저는 딱히 불편한거 못느꼈습니다. 학교가 좀 많이 작습니다만 전 오히려 학교수업 들을때 편했어요 이동시간이 작아서 ㅋㅋ 학식은 정말 맛있습니다 세종대학식이랑 같은업체라서 똑같은 음식임. 근데 ㄹㅇ 소속감 1도 못느낍니다. 우리학교 트렉제도 특징상 지 원하는대로 다들 수업정해서 듣다보니 친구만들기도 어렵고 선배님들과의 술자리 이런거 하나도 없어요(이건 장점일수도 있습니다) ㄹㅇ 원래 친구랑 같이 대학온거아니면 낯선 곳에 혼자떨어진 느낌.. 다른애들이랑도 수업겹쳐봤자 한두개? 서로서로 다 낯선..
51,"트렉제도도 아직 보완점이 있지만 전 좋게 생각합니다.학종으로 올경우엔 학부로 오다보니 생기부와 다르게 기계생기부로 들어와서 컴공할수도있고 그냥 자율전공이라고 생각하면 편해요. 근데 문제점이 공대는(문과는 제가 몰라서 뭐라 말 못합니다) 사실상 비슷한 트렉을 들어야한다는거에요. 1트렉을 기계자동화트렉 하고 2트렉을 컴공꺼 들어야지! 이런거 하면 RPG 잡캐릭터 키우는거임. 물론 컴공쪽으로는 트렉 좀 다양한걸로 알고있고 컴공들을꺼면 트렉제도 유의미하게 도움이 될꺼같은데 기계, 전자쪽은 관련 트랙 수 자체가 별로없습니다 기계관련 트렉2개, 전자트랙 3개(올해 하나 추가됨) 밖에없어요. 거기다가 기계쪽은 들어보니까 그냥 기계공학과 교육과정 반으로 딱나눠서 두개 트렉으로 만든거라 하나만 배우면 그냥 절반 배우는거랍니다 ㅋㅋ. 뭐 이게 별로다! 이런게아니라 그냥 트렉제도가 뭐 의미있게 돌아가는거 같지가 않단 소립니다. 차라리 과로 다시 돌아가고 자율전공으로 하는게 좋을거같은데.. 근데또 트렉제도로 이득보는사람이 있긴하더라고요. 그래서 그냥 하나의 장점으로 생각합니다. 또한 트렉을 결정할때 성적순으로 짜르고 그런거 없습니다. 그래서 공대절반이 컴공으로 몰린다고하더라고요 ㅋㅋ. 컴공으로 오실꺼면 좋은 제도고, 아니면 그냥 보통 과라고 생각하시면 편합니다."
52,"작고 알찬 학교 커리큘럼도 좋았고 시설도 좋다 지금 공사하는 것만 끝나면 더 좋아지겠죠? 밑에 행정 불만 가지신 분들 많으신데 어느 학교를 가나 재학생이 학교 행정에 만족 못하는 정도는 비슷비슷 한거같네요 친구 얘기들 들어보고 해도,, 전 학교에서 근로장학생도 하고 여러가지 제도들 잘 이용했고 뭐 서류처리나 행정 관련해서는 불만 전혀 없었는데 사람마다 달라서 모르겠네요"
53,타 과도 그렇고 배울것만 핵심적으로 잘 가르치는 것 같습니다 만족했습니다
54,"1년 다니고 자퇴함. 장점 : 학교 위치, 학식 맛있음, 캠퍼스가 작아 편함. 단점 : 행정이 지잡대 수준임, 진짜 x 같아서 때려침 일도 못하고 소통도 안하고 그냥 진짜 개 답답한 학교임 좋은 교수님들도 많이 계시지만 학교 자체는 진짜 쓰레기 같음 진짜 신중히 선택하시길"
55,"공대 50퍼센트 이상이 컴공에 몰려있음 뭣 같은 트랙제 때문에 그냥 it공대 = 컴공이라 봐도 무방 코로나 끝나면 대면 수업인데, 아마 수강 신청도 힘들 거고 오프라인 수업할 교실 부족해서 학교 난리날 거임"
56,"계열 상관 없이 훌륭하신 교수님이 많다. 커리큘럼도 괜찮다. 다만, 트랙제에 큰 모순이 있다. 인문학+공학처럼 다른 학문과 융합해 배울 수 있다는 것이 말이 안 된다. 트렉제는 하나의 학과에서 배울 내용을 여러 개의 트랙으로 분화시킨 것이다. 전문성을 확보하려면 비슷한 트랙 2개를 선택해야 한다. 이미 얕아진 학문의 지식으로 다른 계열의 학문을 배운다는 것은 취미 수준 그 이상 이하도 아니다. 취업할 때도 별로 좋을 게 없다. 또, 자기가 선택한 트랙이 사라지는 참변을 맞을 수도 있다. 인기가 없는 트랙은 폐지될 가능성이 있으니 주의해야 한다."
57,교수님들이 친절하시다. 좋은 프로그램이 많다.
58,"위치 학교는 전반적으로 만족하면서 다녔습니다 위치는 뭐 역에서 학교가 좀 멀다 뿐이지 서울 내 어디든 무리없이 갈수있고 근처에 번화가는 대학로, 성신여대 조용히 먹고싶으면 학교 앞 성북천 좋았어요 시설 시설은 일단 캠퍼스는 작아요 근데 오히려 수업 이동할때 편하고 학교 어디든 금방 갈수 있어서 좋아요 상상관은 17년도인가에 완공되서 깔끔하고 탐구관 공학관 등은 외관은 그냥 그런데 내부는 깔끔해요 창의관이었나 패디과 학우분들 건물은 내부가 특히 엄청 좋습니다 취업지원 취업지원 부분은 솔직히 부족하다고 느껴집니다 교내에 취업지원팀이 존재하고 여러가지 제도를 시행하고 있긴 합니다 근데 학우들이 잘은 사용하지 않는 느낌? 그래도 모의면접 자소서 첨삭 등등 있을건 다 있어요 아웃풋 아웃풋은 전 공대나와서 공대 기준으로 말씀드리면 그래도 다들 취업은 무난하게 하는 편입니다 한성대 나와서 학벌로 이득은 못봐도 손해볼 정도는 아닌느낌? 기타 교환학생은 일본이랑 미국 등등 있었는데 코로나라서 흠? 장학금은 제도 좋아요 자격증 비용 장학금으로 주는거 있는데 그거 꼭 활용하세요!"
59,일단 저는 상상력(주간) -> 컴공 입니다 공대는 아무래도 컴공이 사람이 제일 많아요 수강신청때 좀 빡세고 그런건 있는데 그래도 다들 학점 잘 채워서 졸업합니다. 학교 다닐땐 뭣도 모르고 다녔었는데사회에 나와서 보니 저희학교 컴공 수준 꽤 높았습니다 커리큘럼도 필드에서 쓰는 기술 위주로 짜여져 있고 교수님들도 강의력 대부분 좋았습니다 후배님들 다들 화이팅입니다!!
60,
61,
62,"여기에 3점초반으로 성적 맞춰서 왔고 솔직히 기대하고 온 것도 아니었음. 근데 학교생활하다보니까 생각보다 괜찮은 학교라는 느낌이 점점 들게 됨. 장점은 다른 학교에 비해 다양한 프로그램과 부서가 있다는 점? 영어,글쓰기,취업,창업,상담 등등 학교 내에 센터나 부서가 많음. 1학년 때 원어민교수님과 회화하는 수업도 있고, 글쓰기 과제해서 전문가에게 첨삭받을 수 있는기회도 있음. 그리고 비교과 프로그램이라고 학생들의 참여를 도모하려고 만든 제도가 있는데 전혀 부담되지 않음. 프로그램들이 매주 공지에 서너개씩 올라와서 무료로 진로 멘토링도 받을 수 있고 전문가 특강도 들을수 있고, IT기기들도 체험해볼 수 있고 좋음. 학교에서 여는 대회나 공모전들도 많아서 참여만 해도 조그마한 장학금주는 활동도 있고 수상하면 큰 상금 받을 수 있는 기회도 있음. 고시반, 교육장학금도 있어서 자격증 취득할 수 있게 금전적 지원도 해줌. 단점은 캠퍼스 크기가 작다는 점? 근데 막상 가보니까 대부분 새로 지은 건물들이어서 신식이고 알차게 구성 잘해놨더라고요. 작지만 강한 학교 같은 느낌? 저는 좋았어요. 자기가 도전정신이 있고 다양한 활동&체험 해보고 싶다고 하면 이 학교 추천해요!"
63,"1학년때는 여러가지 트랙 기초 과목들 들어볼 수 있음. 기계설계, 전자공학, 컴퓨터 프로그래밍, 보안개론 등등 공학과 관련된 트랙 선택해서 들어보고 2학년때 전공 트랙 선택하면 됨. 자기가 공학쪽이다! 근데 어느 분야로 가야할 지 모르겠다 하면 이 학과 추천해요. 교수님들은 여느 학교에나 있는 강의평 안좋으신 아주 소수의 교수님들 제외하고 대부분 열정적이시고 잘 챙겨주시려고 하시는 것 같아서 좋았어요:) 학점도 코시국이라 웬만하면 잘 주십니다. 선배님들도 정보 친절하게 알려주시고 공지도 잘 해주세요. 상품 받아갈 수 있는 단과대학 행사도 많이 해요."
64,
65,
66,"트랙제가 장점이자 단점이다. 장점으로는 2학년 때 전공을 정하기 때문에, 1학년 때 해보고 싶은 전공 기초를 마음껏 선택할 수 있다. (다만 학점은 알아서 챙기기) 저는 패션은 한 번도 생각해보지 않았는데, 패션교양 듣고 패션에 흥미생겨서 2트랙으로 고려하고 있어요. 진로의 폭을 넓힐 수 있는 기회를 주기도 하지만, 단점으로는 그만큼 배우는 게 넓다는 겁니다. 다른 대학교의 전공처럼 그 하나의 전공에만 집중적으로 하는 게 아니라, 두 개의 전공을 하나의 전공으로 본인이 융합해내야 하는 거라 그만큼 배울 수 있는게 얇은 듯합니다. 그럼에도불구하고 제가 이 학교를 추천하는 이유는 남들이 하나의 전공에만 알아갈 때 두 가지 분야를 알아가는 즐거움이 있기 때문입니다. 근데 장학금은 짜요…. 넘 슬퍼요…."
67,"수강신청하기가 힘들어요… 교수님들이 전공에 따라 좀 다른 성향인게 느껴져요 그 전공은 어떻게 다가가야 효과적으로 잭팟을 터트릴 수 있는지, 그걸 교수님들이 다 잘 아시기에 열정적이십니다"
68,"작고 알찬 학교 커리큘럼도 좋았고 시설도 좋다 지금 공사하는 것만 끝나면 더 좋아지겠죠? 밑에 행정 불만 가지신 분들 많으신데 어느 학교를 가나 재학생이 학교 행정에 만족 못하는 정도는 비슷비슷 한거같네요 친구 얘기들 들어보고 해도,, 전 학교에서 근로장학생도 하고 여러가지 제도들 잘 이용했고 뭐 서류처리나 행정 관련해서는 불만 전혀 없었는데 사람마다 달라서 모르겠네요"
69,타 과도 그렇고 배울것만 핵심적으로 잘 가르치는 것 같습니다 만족했습니다
70,"1년 다니고 자퇴함. 장점 : 학교 위치, 학식 맛있음, 캠퍼스가 작아 편함. 단점 : 행정이 지잡대 수준임, 진짜 x 같아서 때려침 일도 못하고 소통도 안하고 그냥 진짜 개 답답한 학교임 좋은 교수님들도 많이 계시지만 학교 자체는 진짜 쓰레기 같음 진짜 신중히 선택하시길"
71,"공대 50퍼센트 이상이 컴공에 몰려있음 뭣 같은 트랙제 때문에 그냥 it공대 = 컴공이라 봐도 무방 코로나 끝나면 대면 수업인데, 아마 수강 신청도 힘들 거고 오프라인 수업할 교실 부족해서 학교 난리날 거임"
72,"바로 아래 글 작성한 사람인데 수정이 안 돼서 글 하나 더 남겨요. 아까는 대학 후기 대충 훑어본 거지만 지금 좀 더 자세히 봐보니 정말 심각하네요ㅠㅠ 대학백과를 들어온 여러분은 학교나 학과에 대한 정보를 얻기 위해 온 열정 넘치는 너무 예쁜 학생들이지만, 사실 우리 학교에서 학교 생활을 열심히 하는 분들은 이런 거에 시간을 잘 쓰고 계시지 않을 거예요. 저도 대학백과 앱 삭제하기 전에 로그아웃 하려다가 나도 후기 써야겠다 싶어서 온 거구요. 그래서 여기에 막 불만을 토해내는 우리학교 학생 분들은, 에브리타임에 너무 많은 시간을 쏟으며 평소에도 불만이 많은 분들이 거라고... 감히 말씀드리고 싶어요. 어딜 가든 이렇게 환경 탓이나 불만으로 가득 찬 사람들이 많은 것 같아요. 제가 다른 나라에서 살아본 건 아니라서 다른 나라는 어떤지 잘 모르지만 특히 우리나라는 환경 탓을 정말 많이 하는 것 같아요. 그런데 여러분, 선천적으로 타고난 환경이 아닌 이상 그 환경을 선택한 것도 우리고, 마음에 들지 않아 다른 환경을 찾아 떠나지 않고 여기서 머물러야겠다는 선택을 한 것도 우리 자신이잖아요. 인생은 결국 자기 하기 나름이란 거, 여러분도 잘 알고 계실 거라고 생각해요. 성공하신 분들 중에는 대학교를 안 나오셔도 성공하신 분들이 많은데, 그 분들은 무얼 탓하실까요. 결국 어딜 가든. 자기 하기 나름입니다. 이 글 보시는 후배님들은 그렇게 잘 하실 분들이라고 믿지만, 제가 너무 사랑하는 학교에 이렇게 불만 토해내는 학생들이 후배님들 보는 곳에 저렇게 논리 없이 막 불만 쏟아낸 걸 보니까 마음도 아프고 여러분들에게 안 좋은 인식을 심었을 것 같아서 이렇게 글을 남겨요ㅠㅠ 우리 학교는, 자기가 인생을 정말 잘 그려나가고 싶은 사람들에게 정말 최적의 학교입니다. 그걸 똑똑히 느끼고 있는 게 저구요. 지원해주는 거 정말 많고, 캠퍼스도 너무 예뻐요 진심으로. 사실 이건 부가적인 것들이지만... 그냥 정말 저는 너무 감사하거든요. 우리 학교한테. 저렇게 막 불만하고 논리 없는 글 보면서 너무 속상해서 이렇게 글 남겨요.ㅠㅠ 결국 말씀드리고 싶은 건, 어딜 가든 여러분 하기 나름이다. 그리고 우리 학교는 그걸 지원해주는 최고의 학교다. 여러분이 우리 학교에 오셔서 아래에 저 사람들과 똑같이 막 불만만 하고 있다면, 그건 여러분들이 자신의 길을 제대로 그려나가고 있지 않아서다. 라는 말을 드리고 싶어요. 또 저도 20학번이라 선배님들과 교류를 거의 할 수가 없었어서 잘은 모르지만 훌륭하신 선배님들을 꽤 많이 뵀는데, 그런 분들은 여기에 후기를 아마 잘 안 남기실 거예요ㅠㅠㅠ 그래서 정말 어딜 가시든, 여러분이 하기 나름이다 라는 말씀을 드리고 싶어요. 우리 학교에도 멋있는 선배님들 많아요ㅠㅠㅠ 다들 자기 할 일 하시느라 바쁘셔서 이 곳에선 잘 보이지 않을 거예요 정말... 여러분의 선택을 응원해요, 또 여러분의 인생을 잘 그려나가시길 바라요!!!"
73,"최고. 아 그런데 학교에 음대(작곡 쪽), 연영과도 있었으면 하는 바람이 있습니다ㅎㅎㅎ"
74,
75,
76,
77,
